商品ID	商店类型	对应物品ID	轮替商品ID	对应物品数量	消耗金币	消耗水晶	消耗创世结晶	[消耗物品]1ID	[消耗物品]1数量	[消耗物品]2ID	[消耗物品]2数量	[消耗物品]3ID	[消耗物品]3数量	[消耗物品]4ID	[消耗物品]4数量	限购数量	刷新类型	刷新参数	提前预览天数	上架时间	下架时间	是否终身限购	前置条件	前置条件参数	条件参数1	条件参数2	前置条件屏蔽显示	最小可见等级	最小队伍等级	最大队伍等级	排序等级	二级页签ID	n选1组ID	显示平台
101001	1007	106		1																2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
201001	1002	104111		1				305	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201002	1002	104121		1				305	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201003	1002	104151		1				305	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201004	1002	104161		1				305	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201005	1002	104171		1				305	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201006	1002	104141		1				305	10											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201007	1002	114001		1				305	4							50				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201008	1002	114005		1				305	4							50				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201009	1002	114009		1				305	4							50				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201010	1002	915		1				305	100							1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201011	1002	101101		1				305	100							1				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201012	1002	202		6666				305	1											2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201013	1002	223		1				224	1											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
201014	1002	224		1				223	1											2019-12-01 00:00:00	2035-01-01 00:00:00							1	1	99	1			
201015	1002	201		160	75000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201016	1002	104003		1	5000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201017	1002	107012		1	1															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201018	1002	220007		1999	1															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201019	1002	108213		1	5000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201020	1002	108124		1	5000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201021	1002	108067		1	5000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201022	1002	108117		1	5000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201023	1002	108113		1	5000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201024	1002	108245		1	5000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201025	1002	108468		1	5000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201026	1002	104319		1	500000															2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201027	1002	1003		1	500000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201028	1002	1022		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201029	1002	1026		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201030	1002	1047		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201031	1002	1030		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201032	1002	1038		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201033	1002	1057		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201034	1002	1042		1	500000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201035	1002	1058		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201036	1002	1052		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201037	1002	1071		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201038	1002	1069		1	500000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201039	1002	1073		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201040	1002	1041		1	500000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201041	1002	1033		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201042	1002	1054		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201043	1002	1060		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201044	1002	1066		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201045	1002	1070		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201046	1002	1016		1	500000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201047	1002	1029		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201048	1002	1046		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201049	1002	1049		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201050	1002	1002		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201051	1002	1037		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201052	1002	1051		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
201053	1002	1063		1	1000000											7				2019-12-01 00:00:00	2035-01-01 00:00:00	1						1	1	99	1			
